,0,1,2,3,4,5
37,drizzle,1.49275506262406,1.90459722274310,1.64450039386709,1.82129598058307,1.64160373804334
38,little,6.38891925163952,7.36104498294157,7.88563234580182,7.81451744795202,6.93135142718155
39,sauce,7.10090719071711,7.55107411267696,7.73650239473259,7.66427481237140,7.15312386782909
40,although,4.18081105630932,5.10337708685759,5.78551270339416,5.31954684811090,4.49077883579557
41,could,7.78839646599115,7.60251253946864,7.41834605373444,6.97780046626306,6.47598183386749
42,basically,4.60823228004400,4.44516560410580,4.48100166158420,3.65587237137570,2.74396545567302
43,eat,8.47003498612398,8.30159113273133,8.11907549876492,7.94989183626671,7.84531159611486
44,plain,4.18081105630932,4.30314659923337,3.79134178219635,3.42220002517324,2.66266535357117
45,ricotta,0.0,0.76709369899316,2.08507298525307,2.30672280775332,1.64160373804334
46,noodle,4.27702637156862,4.05987544822100,4.31287890277588,4.63550457368174,3.39963094773737
47,flavor,6.14937854847267,7.16626479281298,7.02697003068950,6.66762213415351,6.54282558356517
48,unpleasant,2.78226167981905,2.83748302688456,1.53758518995058,0.82459653669454,0.45884188308708
49,didn,8.08770165191784,8.10872370832307,7.78988671899597,7.06288196715283,6.11064695146493
50,finish,5.54199858164391,5.81148781835162,5.22084976428354,5.02814755102374,4.88057038391530
51,grant,1.13018498323935,2.69309311754939,2.29657709044678,1.61484510311565,0.72406589823531
52,go,9.52740120543095,9.45359422617638,9.29247269211404,9.05363695569391,8.82997440680647
53,second,6.01631701868108,5.99975445578344,5.51662557131493,5.10916223939681,4.76846001759377
54,night,6.83458271494912,7.04507844629292,7.05873259307429,7.02162246056594,6.59580004843022
55,maybe,6.09101438595868,6.87979383174252,6.70442421151914,5.62176451705544,4.44895866010094
56,things,5.77404117301408,6.17308605866900,6.21218490315641,5.96152929708858,5.48191885887534
57,improve,2.41029290243209,3.76709369899316,3.22946289458824,2.91440538497456,1.46103149240152
58,not sure,4.90779256190291,5.46753341713425,5.34494011200818,4.49183421301030,3.13910339751416
59,sure,6.61745081007338,6.75350463424520,6.87056847334693,6.65923922247409,6.43983727013240
60,will,3.49275506262406,3.44516560410579,3.08507298525307,2.34067013967666,2.28206135135620
61,find,6.95582525832470,7.09621729528472,7.13406167868877,7.02944903513626,6.86361725063410
62,cute,1.78226167981904,3.61509060554811,4.22946289458824,4.41425127205776,4.07770285285001
63,place,9.35487578811256,9.43100754110914,9.45369431558847,9.41225722192568,9.35524295393929
64,!,10.3406823930877,9.38253942429795,9.52452115524695,10.3194138501812,10.9142335230197
65,really,7.7065343536558,8.44093275498360,8.57861245821063,8.35371684679340,7.80562330741321
66,make,8.39026442193827,8.42101357211259,8.30882068620153,8.23351296079954,8.26365555749972
67,feel,6.03707557884787,6.63992245852805,6.73499092781499,6.40224541879761,6.15219339695460
68,europe,0.31269543464665,0.0,0.44662795891022,0.47119802096831,0.64237863632192
69,somewhere,4.47257718068643,4.35205619971432,3.90323466226725,3.28944481632148,2.64160373804334
70,even,8.51018213438224,8.20005310626927,7.58701489920633,7.41325459150628,7.40510904777544
71,come,9.19781140883552,9.12816018778748,8.93977736066445,8.63593184898204,8.42527608103605
72,?,8.95582525832471,8.50721174182629,8.05267847155514,7.34590298923260,6.75381324162936
73,uh,2.02326977932284,1.25252052616340,1.42210797253064,0.47119802096831,0.45884188308708
74,kinda,2.64475815606911,4.22652531763046,4.79134178219636,3.89168530847447,2.53142082029292
75,gross,5.33405731660500,4.73056782296805,3.08507298525307,2.00186822622490,0.94645831957176
76,actually,5.79043561126475,6.50044803960699,6.30066984508066,5.88594893892533,5.04999592368017
77,understand,5.74068257606765,5.55369006088397,4.79134178219636,3.60090591215777,3.09329970790103
78,authenticity,0.32283006118174,0.03012810482695,0.42210797253064,0.91440538497455,0.94645831957176
79,scrap,0.64475815606911,0.44516560410580,0.89325591782045,0.82459653669454,0.64237863632192
80,around,6.94853890424621,6.83748302688456,6.86781260805642,6.61657807034011,6.13534147871796
81,feet,2.64475815606911,2.35205619971432,2.29657709044678,1.77238638010213,1.36149581885060
82,meal,7.16518040459556,7.25573723884694,7.18144137972530,6.99389016880137,6.74520011132466
83,pm,6.14300902359694,5.63499016298582,5.62504803120091,5.26755221047264,4.69369224919179
84,think,7.74909481588385,8.07452222418541,8.02202081471777,7.44968076159536,6.80443931469933
85,get,9.67266415263900,9.55434330746108,9.36998838277077,9.18411650611734,8.75993414619016
86,ready,5.35625306271920,5.07452222418541,4.77965997714872,4.39822116223881,3.99708439264172
87,close,6.56600404465470,5.92089903507220,6.05146459261025,5.53279088723316,5.21947681397818
88,since,6.56123480050683,6.79389375833687,6.74703855557952,6.60963367647031,6.19257681078347
89,crowd,4.43135451795992,4.96872756016281,5.41457429984523,5.43010522325860,4.25458061493409
90,plus,4.43135451795992,5.04507844629293,5.22084976428354,5.13357390543672,4.77330941725516
91,shop,3.96668625095647,4.69309311754939,4.92460831305982,5.33225789986045,4.85334891518028
92,thin,3.60823228004400,4.74894635228290,4.65732443422467,4.33225789986045,3.73404998680793
93,ambiance,2.96668625095647,4.55369006088397,5.07555021113456,4.97510131666211,4.69879913962488
94,definitely,5.57075757462534,6.55890777015499,6.97925252911203,7.61397783826182,7.38782164544774
95,sit,7.37539811198590,7.23958147045590,6.86781260805642,6.51059514111897,6.09910532958224
96,outside,5.18081105630932,5.62507469412074,5.79134178219636,5.88307217816977,5.26838641445912
97,versus,0.32283006118174,0.44516560410580,1.00707047325179,0.37383700361185,0.27530512985225
98,inside,5.44177113390526,5.71195214480070,6.08981090425973,6.05651244227711,5.37112452004838
99,people,7.51512287565251,7.60503694088419,7.18365920497512,6.98183974573107,6.60670894759716
100,watch,5.46238141358054,5.13166613128902,5.06596416230536,4.94231138154444,4.67308196951651
101,bird,0.90779256190290,0.03012810482695,1.83714547180948,1.23633347986192,0.64160373804333
102,guess,5.57075757462534,5.90459722274310,5.53758518995057,4.74095387226547,3.3614958188506
103,want,8.13661125239878,8.04321810426740,7.73044700267005,7.37997178978396,6.95715292036799
104,snack,2.13018498323935,2.96872756016281,3.61850518533414,3.78477010455796,2.96353183293070
105,apparently,4.32283006118175,4.20005310626927,3.76788280937237,2.86860169536143,1.68342391373796
106,outdoor,1.13018498323935,2.96872756016281,3.45185531592468,3.84514272253744,3.48487823435588
107,patio,3.74909481588384,4.92089903507220,5.25499798669538,5.32803331399873,5.06589355056038
108,need,6.86198887228978,6.90049282441036,6.79424751337176,6.38608059936660,5.96776882581717
109,appetizer,5.19319478076515,5.18663259050695,5.26341022651158,5.18586841287893,4.79731488026595
110,lucky,1.90779256190291,2.83748302688456,3.00707047325180,3.10422994385458,3.29560788319415
111,us,8.85323639828082,8.42530518174496,7.80868902576025,7.45356419608259,7.33550061031766
112,pizza,7.26827389755966,7.26853284415203,7.38981456932375,7.20096314658251,6.98354763830697
113,crust,3.57075757462533,4.71195214480070,5.12254769067173,5.12385875060351,4.53142082029292
114,problem,5.36722418054020,4.88810909995453,4.59203297397295,4.23633347986192,3.46103149240152
115,solve,0.90779256190290,0.34036759700476,0.15907356669683,0.94239604193662,0.18353675323483
116,menu,7.16203384927869,7.73287798365525,7.95088763785867,7.86277261655924,7.48487823435589
117,heavy,2.71514748396051,2.96872756016281,4.12254769067173,3.79704843433640,2.91169290141108
118,choose,4.51265462006176,5.22652531763046,5.53063242930881,5.66594944406366,5.29560788319415
119,consider,4.45211307812671,5.31553032368921,5.05631399227164,4.49183421301030,3.64160373804333
120,super,4.95218668126136,5.52198120115663,6.10860849971386,6.26091911814019,6.42912224444678
121,hungry,5.11724592753186,5.33998336741374,4.93517755477001,4.50686242224264,3.83026530206724
122,app,2.78226167981905,3.44516560410579,2.92460831305982,2.64232583953776,2.43678394615484
123,bruschetta,0.93808630393996,2.35205619971432,1.92460831305982,2.12385875060351,1.76359426242195
124,yum,1.49275506262406,1.90459722274310,3.71978852117132,4.87440731704264,4.68342391373797
125,simple,4.10418977470640,4.46753341713425,4.40700108014043,4.77859152962884,4.32892795639417
126,small,6.27119729276643,6.89637671593812,6.96900243241827,6.81376230789766,6.06786849274544
127,yet,4.87741891285938,5.25252052616340,5.05631399227164,5.21361340336184,4.86247992693240
128,tasty,4.02326977932284,5.91277115418880,6.72284184514887,6.95057899752803,6.03997020549491
129,something,6.79856349214814,7.07816080124875,6.79714740387756,6.46515217035780,5.73901623970128
130,different,5.95945468172540,6.13166613128902,6.34097120980523,6.35942023084298,5.84415974372562
131,ingredients,4.15572007534649,4.67398429460168,4.76788280937237,4.8569198903138,4.83954311565525
