,0
1567,102
1568,45
1569,130
1570,16
1571,22
1572,24
1573,5
1574,5
1575,1
1576,2
1577,254
1578,281
1579,24
1580,709
1581,40
1582,356
1583,409
1584,10
1585,422
1586,5
1587,7
1588,6
1589,5
1590,117
1591,11
1592,204
1593,1
1594,3
1595,12
1596,6
1597,106
1598,3
1599,61
1600,80
1601,113
1602,92
1603,6
1604,2
1605,3
1606,30
1607,5
1608,28
1609,33
1610,26
1611,1
1612,12
1613,69
1614,89
1615,75
1616,3
1617,199
1618,126
1619,17
1620,2
1621,22
1622,6
1623,6
1624,5
1625,3
1626,76
1627,3
1628,2
1629,1
1630,4
1631,19
1632,137
1633,17
1634,14
1635,13
1636,1
1637,176
1638,82
1639,52
1640,24
1641,1
1642,82
1643,17
1644,387
1645,12
1646,43
1647,48
1648,628
1649,3
1650,51
1651,30
1652,107
1653,47
1654,13
1655,17
1656,19
1657,28
1658,1
1659,5
1660,1
1661,4
1662,30
1663,218
1664,1
1665,150
1666,18
1667,214
1668,237
1669,238
1670,307
1671,421
1672,199
1673,155
1674,21
1675,15
1676,262
1677,105
1678,677
1679,438
1680,48
1681,292
1682,9
1683,17
1684,33
1685,4
1686,121
1687,356
1688,277
1689,9
1690,33
1691,192
1692,1
1693,317
1694,428
1695,27
1696,183
1697,177
1698,8
1699,10
1700,4
1701,34
1702,99
1703,3
1704,250
1705,10
1706,1147
1707,118
1708,69
1709,29
1710,1347
1711,48
1712,17
1713,39
1714,6
1715,4
1716,171
1717,234
1718,360
1719,19
1720,1
1721,15
1722,1
1723,14
1724,89
1725,67
1726,26
1727,1389
1728,172
1729,4
1730,6
1731,244
1732,8
1733,65
1734,29
1735,27
1736,18
1737,209
1738,42
1739,8
1740,76
1741,90
1742,3
1743,27
1744,213
1745,250
1746,462
1747,34
1748,5
1749,3
1750,144
1751,343
1752,136
1753,87
1754,4
1755,95
1756,263
1757,812
1758,130
1759,38
1760,668
1761,11
1762,966
1763,86
1764,1566
1765,37
1766,102
1767,961
1768,395
1769,44
1770,42
1771,422
1772,518
1773,84
1774,33
1775,6
1776,122
1777,123
1778,178
1779,49
1780,32
1781,496
1782,230
1783,262
1784,79
1785,105
1786,19
1787,1
1788,3
1789,198
1790,91
1791,1
1792,208
1793,6
1794,7
1795,432
1796,109
1797,288
1798,8
1799,181
1800,85
1801,10
1802,443
1803,217
1804,44
1805,65
1806,206
1807,53
1808,8
1809,49
1810,58
1811,15
1812,1148
1813,615
1814,133
1815,75
1816,118
1817,190
1818,318
1819,600
1820,32
1821,59
1822,160
1823,1248
1824,818
1825,325
1826,10
1827,587
1828,280
1829,407
1830,3
1831,518
1832,606
1833,382
1834,22
1835,93
1836,101
1837,637
1838,10
1839,1458
1840,111
1841,46
1842,29
1843,170
1844,12
1845,26
1846,5
1847,4
1848,355
1849,527
1850,575
1851,5
1852,192
1853,43
1854,104
1855,41
1856,48
1857,62
1858,128
1859,16
1860,326
1861,649
1862,407
1863,364
1864,439
1865,367
1866,790
1867,415
1868,32
1869,1
1870,648
1871,127
1872,13
1873,141
1874,19
1875,843
1876,362
1877,2101
1878,33
1879,6
1880,1
1881,214
1882,124
1883,1
1884,134
1885,16
1886,724
1887,119
1888,241
1889,305
1890,59
1891,799
1892,73
1893,48
1894,98
1895,39
1896,410
1897,29
1898,248
1899,399
1900,98
1901,354
1902,161
1903,81
1904,44
1905,565
1906,146
1907,19
1908,159
1909,2
1910,27
1911,187
1912,1466
1913,26
1914,38
1915,572
1916,1
1917,2
1918,98
1919,87
1920,141
1921,53
1922,104
1923,415
1924,1
1925,495
1926,58
1927,195
1928,52
1929,186
1930,17
1931,281
1932,195
1933,15
1934,298
1935,97
1936,28
1937,227
1938,345
1939,2
1940,368
1941,208
1942,220
1943,109
1944,82
1945,34
1946,325
1947,694
1948,1192
1949,471
1950,671
1951,4
1952,430
1953,55
1954,1067
1955,192
1956,284
1957,32
1958,55
1959,76
1960,48
1961,231
1962,18
1963,21
1964,110
1965,22
1966,114
1967,762
1968,4
1969,394
1970,14
1971,18
1972,3
1973,19
1974,1570
1975,310
1976,7
1977,69
1978,3
1979,152
1980,307
1981,78
1982,152
1983,483
1984,484
1985,1
1986,19
1987,740
1988,359
1989,40
1990,29
1991,415
1992,1
1993,4
1994,69
1995,6
1996,66
1997,948
1998,18
1999,2
2000,291
2001,268
2002,211
2003,9
2004,650
2005,76
2006,35
2007,228
2008,2
2009,289
2010,608
2011,38
2012,62
2013,4
2014,47
2015,1
2016,195
2017,1
2018,7
2019,1
2020,45
2021,533
2022,59
2023,49
2024,9
2025,446
2026,38
2027,72
2028,645
2029,1
2030,1
2031,135
2032,30
2033,74
2034,1
2035,3
2036,384
2037,58
2038,183
2039,1026
2040,202
2041,1
2042,93
2043,261
2044,299
2045,52
2046,456
2047,89
2048,2
2049,10
2050,1
2051,123
2052,91
2053,171
2054,118
2055,129
2056,652
2057,16
2058,704
2059,71
2060,27
2061,94
2062,168
2063,190
2064,18
2065,174
2066,56
2067,29
2068,20
2069,106
2070,94
2071,105
2072,286
2073,368
2074,238
2075,320
2076,18
2077,123
2078,9
2079,165
2080,7
2081,109
2082,109
2083,229
2084,144
2085,34
2086,493
2087,204
2088,224
2089,111
2090,42
2091,60
2092,178
2093,274
2094,134
2095,243
2096,51
